[224, 659, 5286, 189, 5774, 706, 5013, 1562, 4108, 5079, 192, 1058, 878, 2239, 615, 663, 1065, 941, 956, 1929, 6602, 1534, 461, 1941, 28, 5922, 519, 361, 780, 310, 1192, 653, 6490, 647, 3113, 2859, 578, 661, 231, 288, 6516, 774, 1474, 1620, 4954, 1044, 785, 1153, 710, 3751, 1641, 478, 1049, 2713, 5159, 4661, 2101, 2214, 1075, 1181, 1351, 600, 5677, 5056, 1726, 1647, 6993, 6448, 4718, 2631, 1718, 201, 8636, 2035, 4392, 1895, 18102, 657, 352, 1338, 687, 3423, 1506, 2345, 703, 314, 8074, 380, 13567, 6444, 6429, 2178, 1133, 1808, 4056, 250, 6631, 475, 701, 1879]
[357, 0, 5286, 5462, 5118, 644, 665, 354, 2087, 5095, 187, 5932, 5898, 6000, 898, 918, 5183, 420, 2196, 6490, 1647, 5664, 4816, 5415, 1521, 856, 4080, 3734, 1097, 2158, 1259, 41, 6516, 5515, 587, 5097, 3709, 3614, 5968, 5769, 5677, 5931, 78, 1394, 4594, 4808, 1726, 4717, 6658, 666, 3314, 231, 2713, 5935, 1018, 1065, 4014, 5897, 3099, 5430, 3113, 5291, 238, 4879, 7093, 3485, 4722, 1646, 941, 3464, 4535, 5902, 359, 132, 13567, 4958, 5488, 2378, 1595, 2345, 2137, 4719, 4392, 5597, 2581, 380, 3462, 1153, 5667, 5347, 2616, 5876, 935, 5569, 5915, 5872, 4053, 216, 146, 4618]
[224, 4873, 5118, 3261, 5935, 3923, 321, 2859, 5851, 5097, 5960, 2690, 656, 5415, 77, 1746, 2973, 4954, 5183, 2313, 918, 2641, 5428, 4717, 5991, 856, 5263, 5709, 5111, 2703, 898, 643, 4675, 1282, 2344, 3314, 5461, 5569, 4815, 5677, 4766, 1097, 5319, 931, 2911, 5267, 3107, 5510, 5881, 3709, 3672, 5755, 4807, 4944, 2328, 5516, 5420, 3613, 5488, 665, 5959, 641, 5514, 4743, 4594, 1647, 2196, 2205, 4780, 445, 4548, 4080, 6838, 5453, 5758, 3751, 4808, 5691, 5829, 2918, 838, 5515, 11819, 5703, 3120, 6765, 5300, 3099, 5716, 1280, 5665, 4776, 1726, 13567, 4984, 1, 4789, 2873, 5508, 3976]
[2701, 224, 645, 5462, 665, 39, 5634, 77, 28, 4873, 4543, 5898, 2892, 2684, 2645, 4108, 5118, 3261, 1259, 3256, 1092, 5664, 693, 4807, 627, 579, 4287, 5271, 4594, 4766, 4014, 2651, 413, 5932, 682, 4002, 5415, 678, 1922, 361, 6057, 2137, 3984, 2064, 6602, 669, 1620, 4722, 3433, 931, 4833, 687, 2035, 4954, 2239, 465, 878, 5968, 1065, 5922, 3614, 5897, 4454, 1975, 2581, 70, 728, 1549, 2326, 5769, 201, 7140, 1247, 5510, 5183, 1206, 2919, 764, 685, 161, 5033, 5730, 108, 5935, 5056, 1807, 6477, 836, 946, 9447, 4006, 5267, 5388, 849, 5319, 5738, 356, 556, 468, 1075]
[224, 5462, 2313, 5118, 4287, 4717, 711, 4108, 5664, 5095, 641, 2892, 6602, 699, 898, 2911, 5415, 5960, 2158, 3709, 4222, 1058, 3120, 5388, 2651, 5897, 6057, 3385, 5878, 332, 644, 5851, 5515, 5931, 1065, 2865, 666, 6490, 4954, 687, 956, 1124, 650, 935, 98, 1023, 2137, 745, 132, 4014, 1489, 225, 6161, 5159, 575, 4675, 221, 1590, 849, 3458, 172, 2873, 858, 5206, 1929, 1622, 648, 471, 5356, 3433, 893, 5056, 894, 1620, 3046, 324, 3924, 3751, 6658, 6477, 1231, 6443, 3245, 1355, 548, 233, 310, 1316, 289, 1247, 651, 5011, 4987, 13972, 5738, 8380, 5267, 543, 13567, 556]
[5462, 4873, 5932, 0, 5291, 5415, 6602, 5878, 6057, 2701, 5872, 357, 5922, 189, 203, 5136, 5510, 6000, 2803, 1979, 6490, 5606, 5111, 5548, 4751, 1746, 2892, 3709, 2645, 5851, 4561, 5097, 5618, 6002, 656, 77, 4954, 5759, 39, 5033, 3314, 3256, 5319, 5876, 2313, 1521, 2641, 321, 5026, 293, 4002, 5569, 918, 5388, 5428, 5263, 4511, 1562, 3107, 4807, 935, 2690, 166, 3734, 2158, 5206, 4717, 4392, 4419, 5973, 5709, 4958, 3613, 5488, 5742, 4780, 2703, 4006, 5347, 898, 5959, 711, 645, 5703, 10294, 5267, 931, 5881, 5013, 354, 3919, 6837, 3976, 3120, 3672, 5442, 643, 5886, 5829, 5852]
[1979, 4543, 0, 5013, 2713, 6057, 5033, 3314, 15, 4873, 1647, 6477, 5271, 3751, 4108, 666, 1280, 3614, 354, 321, 2321, 1018, 5706, 77, 3099, 687, 238, 659, 5300, 4675, 4637, 1595, 203, 2645, 4594, 2641, 2918, 715, 4421, 4419, 3244, 1489, 1259, 2185, 6000, 146, 2873, 4744, 858, 4807, 615, 2378, 4384, 700, 731, 3485, 2690, 5876, 5095, 579, 78, 647, 644, 411, 1023, 5056, 5286, 4618, 4879, 6001, 28, 2344, 7197, 643, 1726, 2065, 6989, 5241, 6658, 4418, 2872, 682, 4743, 5107, 4663, 1474, 161, 6528, 2803, 1355, 4053, 2581, 7093, 5183, 5932, 4454, 1997, 5525, 4722, 2157]
[506, 644, 225, 699, 665, 1330, 331, 1929, 1092, 1065, 479, 557, 707, 1419, 745, 583, 310, 764, 354, 1489, 421, 1534, 719, 77, 1181, 918, 1184, 1958, 1073, 780, 2684, 673, 822, 4543, 305, 2035, 2239, 1206, 647, 478, 519, 1259, 3709, 836, 2321, 729, 414, 941, 4873, 250, 716, 1544, 856, 1479, 3924, 352, 680, 704, 1378, 4722, 629, 1755, 4420, 2645, 2631, 766, 2198, 789, 1674, 212, 353, 954, 648, 1867, 3751, 702, 4594, 773, 4663, 608, 324, 6602, 25, 3086, 4990, 723, 1662, 472, 715, 4002, 5515, 7026, 4879, 1327, 2730, 1647, 6490, 5932, 4807, 1062]
[203, 4873, 3261, 357, 3618, 2892, 5286, 2645, 5415, 2701, 711, 3086, 321, 5968, 5931, 2087, 5774, 2911, 39, 5271, 293, 5013, 5388, 5097, 4954, 5769, 5935, 2859, 3120, 643, 4816, 6062, 3709, 2690, 3751, 4717, 5663, 4080, 557, 1647, 1521, 5488, 5597, 2973, 4808, 2803, 5759, 641, 2158, 931, 5881, 665, 4002, 187, 4807, 354, 1282, 659, 3099, 898, 5618, 5872, 1726, 4984, 6658, 28, 2684, 445, 5111, 5319, 5582, 5608, 5206, 5510, 5876, 3314, 5428, 4780, 4014, 652, 6002, 4415, 4419, 587, 935, 644, 7093, 4392, 4594, 5667, 4744, 3113, 4675, 4722, 332, 231, 5026, 699, 4102, 5895]
[5462, 3261, 0, 5935, 5968, 5851, 5902, 6057, 5898, 203, 6602, 1979, 2892, 224, 5597, 5097, 918, 5291, 5033, 1746, 5136, 5569, 1624, 2645, 4816, 4108, 321, 5872, 3314, 1562, 6001, 357, 5878, 5271, 4954, 4717, 5991, 4807, 3709, 5026, 77, 5309, 2313, 5548, 5881, 1282, 5873, 5453, 5897, 4561, 6516, 5267, 2641, 645, 6658, 5824, 5755, 5347, 4675, 5730, 5319, 931, 5738, 5013, 5895, 5959, 5926, 4511, 5709, 5430, 5759, 6002, 1647, 557, 4780, 3613, 2205, 4846, 4112, 4815, 5829, 5703, 354, 4594, 641, 3120, 5608, 3751, 2328, 2703, 4722, 4080, 4921, 4743, 13567, 4958, 5377, 5508, 6838, 3099]
